brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_encoded,state_encoded
92147.0,for_sale,110000.0,7.0,3.0,0.09,1842706.0,Dorado,Puerto Rico,949.0,1192.0,2019-06-28,0,0
94933.0,for_sale,950000.0,5.0,4.0,0.99,1260473.0,Saint Thomas,Virgin Islands,802.0,5000.0,2013-10-11,1,1
103341.0,for_sale,6899000.0,4.0,6.0,0.83,17467.0,Saint Thomas,Virgin Islands,802.0,4600.0,2018-04-05,1,1
21163.0,for_sale,525000.0,3.0,3.0,0.45,1813270.0,Agawam,Massachusetts,1001.0,2314.0,2014-06-25,2,2
67455.0,for_sale,289900.0,3.0,2.0,0.36,1698080.0,Agawam,Massachusetts,1001.0,1276.0,2012-10-12,2,2
97400.0,for_sale,384900.0,3.0,2.0,0.46,1244899.0,Agawam,Massachusetts,1001.0,1476.0,1986-11-20,2,2
33714.0,for_sale,199999.0,3.0,2.0,1.76,1745924.0,Agawam,Massachusetts,1001.0,1968.0,2008-09-19,2,2
22188.0,for_sale,419000.0,4.0,2.0,2.0,1417448.0,Pelham,Massachusetts,1002.0,1607.0,2005-07-25,3,2
13548.0,for_sale,745000.0,4.0,3.0,0.56,59271.0,Amherst,Massachusetts,1002.0,2847.0,1992-06-24,4,2
59566.0,for_sale,875000.0,4.0,4.0,1.5,1470871.0,Pelham,Massachusetts,1002.0,4366.0,1996-07-12,3,2
48733.0,for_sale,699900.0,4.0,4.0,0.77,197868.0,Amherst,Massachusetts,1002.0,3879.0,1993-08-11,4,2
62476.0,for_sale,275000.0,3.0,2.0,0.16,1308332.0,Amherst,Massachusetts,1002.0,1280.0,2021-08-19,4,2
48733.0,for_sale,415000.0,4.0,2.0,0.49,816546.0,Amherst,Massachusetts,1002.0,1814.0,1997-06-30,4,2
48733.0,for_sale,390000.0,3.0,2.0,0.5,236564.0,Amherst,Massachusetts,1002.0,1128.0,1998-09-17,4,2
736.0,for_sale,865000.0,4.0,3.0,0.65,885627.0,Amherst,Massachusetts,1002.0,3465.0,2006-10-03,4,2
48733.0,for_sale,499900.0,4.0,3.0,0.46,197884.0,Amherst,Massachusetts,1002.0,2143.0,1988-06-10,4,2
736.0,for_sale,650000.0,5.0,4.0,0.64,13427.0,Amherst,Massachusetts,1002.0,2363.0,2004-07-28,4,2
48733.0,for_sale,975000.0,3.0,4.0,3.04,431222.0,Amherst,Massachusetts,1002.0,2074.0,2006-06-21,4,2
27510.0,for_sale,439900.0,3.0,2.0,0.2,1032285.0,Amherst,Massachusetts,1002.0,1349.0,2005-09-02,4,2
110138.0,for_sale,397000.0,2.0,2.0,0.51,1212530.0,Granby,Massachusetts,1033.0,2000.0,2001-12-13,5,2
101392.0,for_sale,389900.0,2.0,2.0,0.92,366219.0,Whately,Massachusetts,1093.0,1723.0,1997-09-25,6,2
736.0,for_sale,459900.0,4.0,3.0,3.8,152461.0,Sunderland,Massachusetts,1375.0,2768.0,2009-07-17,7,2
77236.0,for_sale,249900.0,4.0,3.0,0.29,1342303.0,Chicopee,Massachusetts,1020.0,1514.0,1996-07-30,8,2
8147.0,for_sale,324900.0,4.0,2.0,0.56,985872.0,Granby,Massachusetts,1033.0,1523.0,2007-09-19,5,2
79346.0,for_sale,364900.0,3.0,2.0,1.02,1452460.0,Belchertown,Massachusetts,1007.0,1617.0,2001-10-05,9,2
98727.0,for_sale,240000.0,2.0,1.0,0.28,1548010.0,Chicopee,Massachusetts,1013.0,1207.0,2011-11-29,8,2
30212.0,for_sale,224900.0,2.0,1.0,0.4,553770.0,South Hadley,Massachusetts,1075.0,1034.0,1996-02-28,10,2
8147.0,for_sale,299500.0,3.0,2.0,0.11,114750.0,Ludlow,Massachusetts,1056.0,2240.0,2000-10-03,11,2
56419.0,for_sale,469900.0,3.0,3.0,1.82,871914.0,Orange,Massachusetts,1364.0,2096.0,2000-06-30,12,2
67832.0,for_sale,295000.0,4.0,2.0,0.3,893552.0,South Hadley,Massachusetts,1075.0,2112.0,2001-05-24,10,2
22637.0,for_sale,339000.0,6.0,2.0,0.23,847643.0,Holyoke,Massachusetts,1040.0,2399.0,2017-09-05,13,2
67832.0,for_sale,275000.0,2.0,2.0,0.05,1033205.0,Chicopee,Massachusetts,1013.0,1200.0,2002-06-12,8,2
33507.0,for_sale,579900.0,4.0,3.0,0.41,600330.0,Easthampton,Massachusetts,1027.0,2590.0,2003-10-01,14,2
57226.0,for_sale,365000.0,3.0,2.0,0.3,1584199.0,Holyoke,Massachusetts,1040.0,1880.0,2002-02-15,13,2
44805.0,for_sale,215000.0,1.0,1.0,0.31,1273383.0,Belchertown,Massachusetts,1007.0,640.0,2000-08-03,9,2
99300.0,for_sale,499000.0,3.0,2.0,0.14,1121883.0,Northampton,Massachusetts,1062.0,1728.0,2003-05-30,15,2
37427.0,for_sale,489900.0,3.0,2.0,0.12,437077.0,Northampton,Massachusetts,1060.0,1531.0,2009-05-01,15,2
107905.0,for_sale,65000.0,1.0,1.0,0.4,893755.0,Barre,Massachusetts,1005.0,634.0,2003-10-28,16,2
78217.0,for_sale,273900.0,3.0,1.0,0.12,593122.0,Barre,Massachusetts,1005.0,1175.0,1996-12-13,16,2
81894.0,for_sale,849900.0,4.0,5.0,3.97,241160.0,Barre,Massachusetts,1005.0,5023.0,1988-06-24,16,2
